RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
16 12 36.495,63 40 30.24,0.014,1.91,2.04,0.154,2.92,0,37.1,6.14,5.05,37.1,16120+63285J
13 29 54.332,63 40 29.8,0.014,28.18,35.9,0.154,4.23,0.39,35,6.86,5.41,35,13300+63285N
16 56 22.717,63 40 29.21,0.014,2.76,2.54,0.134,1.62,0,12.8,5.64,4.76,12.8,16540+63285J
14 26 12.568,63 40 28.74,0.014,1.21,1.1,0.135,0.83,0,0.4,5.46,4.82,0.4,14240+63285J
12 11 23.105,63 40 28.25,0.132,1.32,3.44,0.153,8.35,5.4,159.5,9.94,7.64,159.5,12120+63285J
15 23 43.678,63 40 28.25,0.014,10.54,47.8,0.155,14.85,6.39,55.1,15.8,8.37,55.1,15240+63285J
8 8 40.471,63 40 27.24,0.578,1.02,2.05,0.142,7.94,2.9,87.4,9.6,6.13,87.4,08120+63562J
15 40 5.602,63 40 26.9,0.014,1.2,0.86,0.139,0,0,165,5.17,4.03,165,15420+63285J
14 37 39.825,63 40 26.85,0.793,1.33,0.75,0.206,0,0,178.6,4.66,3.55,178.6,14360+63562M
14 37 7.073,63 40 25.64,0.339,1.77,1.74,0.238,2.54,0,24.7,5.97,4.79,24.7,14360+63285J
8 33 32.057,63 40 25.1,0.014,2.06,2.21,0.134,3.18,0,31.9,6.27,4.98,31.9,08360+63285M
8 50 51.509,63 40 22.69,0.803,1.5,2.32,0.229,6.24,0.79,89.6,8.26,5.46,89.6,08480+63285M
13 23 3.318,63 40 21.86,0.014,4.42,7.64,0.147,4.99,4.23,20.4,7.35,6.86,20.4,13240+63285N
15 52 49.996,63 40 21.76,0.877,1.03,2.42,0.151,9.66,3.01,57.4,11.06,6.18,57.4,15540+63562M
12 51 0.663,63 40 21.66,0.014,3.55,3.72,0.134,2.09,0,149.7,5.79,5.28,149.7,12540+63285J
9 21 3.157,63 40 21.39,0.014,9.13,8.92,0.27,0.72,0,86.1,5.45,5.24,86.1,09240+63285J
13 59 27.839,63 40 20.97,0.014,1.83,1.62,0.153,0,0,180,5.21,4.94,180,14000+63285J
10 15 11.607,63 40 20.04,0.212,1.04,1.84,0.136,7.79,0.85,90.9,9.48,5.47,90.9,10180+63285J
12 23 6.895,63 40 20.04,0.014,3.47,3.5,0.156,1.28,0,112.3,5.55,5.3,112.3,12240+63285J
14 57 54.735,63 40 19.52,0.014,1.96,2.02,0.137,1.23,0.54,0,5.54,5.43,0,15000+63285J
10 57 2.439,63 40 19.03,0.014,3.83,3.33,0.134,0,0,24.9,5.26,4.81,24.9,11000+63285J
14 53 22.145,63 40 18.64,0.014,1.82,1.23,0.154,0,0,25.1,4.8,4.13,25.1,14540+63285R
11 13 26.622,63 40 17.7,0.014,10.79,10.84,0.144,1.2,0,166.4,5.53,5.3,166.4,11120+63285J
11 39 27.246,63 40 17.43,0.014,3.81,4.52,0.133,3.34,0.67,153.7,6.35,5.44,153.7,11420+63285J
13 29 58.385,63 40 16.69,0.014,14.01,15.73,0.153,2.43,1.19,4.1,5.92,5.53,4.1,13300+63285N
9 33 21.329,63 40 15.14,0.707,1.76,1.66,0.298,4.49,0,50.9,7.02,3.91,50.9,09360+63285J
17 18 55.655,63 40 15.07,0.058,1.4,1.44,0.151,3.07,0,12,6.21,4.83,12,17180+63285J
12 49 40.57,63 40 15,0.014,2.5,2.62,0.142,3.32,0,126.9,6.34,4.83,126.9,12480+63285J
15 23 44.389,63 40 14.7,0.014,12.45,167.57,0.155,31.37,11.08,4.2,31.83,12.33,4.2,15240+63285J
14 39 10.547,63 40 13.4,0.014,15.75,18.6,0.167,3.46,0,65.2,6.41,5.37,65.2,14420+63285J
7 6 36.16,63 40 12.83,0.014,1.38,2.44,0.154,6.93,2.25,65.9,8.78,5.85,65.9,07060+63285J
9 44 53.543,63 40 12.02,0.014,2.08,2.02,0.14,3.52,0,166.4,6.44,4.41,166.4,09420+63285J
7 10 2.813,63 40 11.97,0.558,1.02,1.66,0.142,4.33,4.25,179.9,6.92,6.87,179.9,07120+63285J
16 8 14.537,63 40 11.65,0.016,1.19,0.73,0.135,0,0,62.1,4.78,3.77,62.1,16060+63285J
15 11 3.425,63 40 11.41,0.527,1.11,0.92,0.15,2.22,0,147.1,5.84,4.16,147.1,15120+63285J
14 56 10.63,63 40 10,0.17,1.1,2.6,0.136,8.13,4.57,33.4,9.76,7.08,33.4,14540+63285R
14 2 36.316,63 40 9.34,0.107,1.15,0.98,0.142,3.17,0,44.6,6.26,3.98,44.6,14000+63285J
12 20 57.707,63 40 8.82,0.661,1.04,4.23,0.141,10.85,8.18,17.5,12.12,9.81,17.5,12180+63285J
14 14 12.487,63 40 8.28,0.014,1.24,0.7,0.131,0,0,29.3,4.5,3.68,29.3,14120+63285R
10 41 58.729,63 40 6.88,0.866,1.06,1.78,0.157,8.82,0,19.9,10.35,4.72,19.9,10420+63285J
8 5 54.943,63 40 6.86,0.014,6.65,7.09,0.17,2.08,0,0,5.79,5.38,0,08060+63285M
7 14 6.819,63 40 5.95,0.014,1.5,1.78,0.138,4.3,0,25.4,6.91,4.98,25.4,07120+63285J
8 6 36.767,63 40 5.92,0.014,2.38,2.68,0.159,3.34,0,151.2,6.35,5.16,151.2,08060+63285M
14 37 41.327,63 40 5.82,0.014,485.09,516.04,0.207,1.49,1.23,41,5.6,5.54,41,14360+63562M
11 9 6.146,63 40 5.63,0.014,1.92,2.89,0.137,5.88,1.05,166.6,7.98,5.5,166.6,11120+63285J
12 25 52.151,63 40 5.5,0.014,14.27,26.34,0.147,5.94,3.97,144.1,8.03,6.71,144.1,12240+63285J
12 44 56.594,63 40 5.14,0.346,1.1,1.05,0.136,4.09,0,39.2,6.78,4.08,39.2,12420+63285J
12 20 54.717,63 40 3.78,0.279,1.16,19.85,0.143,24.31,19.23,109.4,24.9,19.98,109.4,12240+63285J
9 56 17.629,63 40 3.73,0.016,1.17,1.95,0.136,6.42,2.03,146.3,8.39,5.77,146.3,09540+63285J
14 37 48.88,63 40 3.39,0.805,1.37,1.42,0.2,3.09,0,118.7,6.22,4.84,118.7,14360+63285J
16 45 51.061,63 40 3.37,0.014,2.55,4.96,0.14,6.55,3.93,132.8,8.49,6.68,132.8,16480+63285N
13 56 6.811,63 40 3.19,0.014,10.68,15.35,0.138,4.61,2.4,161.6,7.1,5.91,161.6,13540+63285J
7 40 33.855,63 40 3.02,0.014,1.75,4.28,0.147,6.5,6.49,83.4,8.45,8.44,83.4,07420+63285J
7 45 18.965,63 40 2.41,0.014,1.27,1.11,0.138,0,0,27.7,5.38,4.74,27.7,07480+63285M
12 25 53.371,63 40 2.04,0.014,14.87,27.77,0.147,5.97,4.08,6.1,8.05,6.77,6.1,12240+63285J
11 21 31.763,63 40 1.94,0.014,2.13,2.13,0.134,2.2,0,46.9,5.83,5.01,46.9,11240+63285J
12 20 52.395,63 40 1.94,0.72,1,5.61,0.143,15.22,8.65,48,16.15,10.2,48,12180+63285J
14 5 40.898,63 40 1.42,0.014,9.61,9.48,0.155,1.54,0,16.3,5.61,5.12,16.3,14060+63285R
15 45 29.18,63 40 0.29,0.014,2.09,2.1,0.137,2.75,0,46.5,6.06,4.84,46.5,15480+63285J
9 4 14.267,63 39 59.6,0.047,1.51,0.99,0.143,0,0,10.3,5.36,3.57,10.3,09060+63285M
9 33 5.048,63 39 59.38,0.442,2.02,1.53,0.301,1.63,0,9.9,5.64,3.93,9.9,09360+63285J
14 40 10.259,63 39 58.99,0.352,1.47,1.28,0.182,1.85,0,43.3,5.71,4.41,43.3,14420+63285J
14 15 4.972,63 39 58.47,0.014,1.58,1.76,0.132,3.65,0,103.8,6.51,4.98,103.8,14180+63285R
7 59 13.663,63 39 57.54,0.014,4.21,3.97,0.195,0.83,0,2.6,5.46,5.03,2.6,08000+63285M
16 45 49.401,63 39 57.51,0.014,4.44,9.92,0.14,8.4,3.67,79.8,9.98,6.53,79.8,16480+63285N
12 14 51.476,63 39 56.87,0.014,3.88,3.7,0.149,0,0,90.1,5.34,5.21,90.1,12120+63285J
9 11 54.468,63 39 55.57,0.07,1.63,1.05,0.156,0,0,12.2,4.92,3.82,12.2,09120+63285M
11 28 23.955,63 39 55.3,0.222,1.33,0.7,0.158,0,0,15.5,4.33,3.54,15.5,11300+63285R
13 4 36.503,63 39 55.05,0.014,2.65,2.35,0.148,1.58,0,152.6,5.63,4.61,152.6,13060+63285J
16 52 40.146,63 39 54.39,0.014,9.38,9.99,0.146,1.91,0.47,11.9,5.73,5.42,11.9,16540+63285J
7 1 25.849,63 39 54.22,0.014,1.48,0.89,0.147,0,0,153.5,4.46,3.91,153.5,07000+63285J
17 8 0.56,63 39 52.6,0.014,5.66,5.56,0.137,1.96,0,12.2,5.74,4.98,12.2,17060+63285J
8 59 55.472,63 39 51.61,0.866,1.15,1.06,0.171,4.39,0,67.3,6.96,3.83,67.3,09000+63285M
7 4 36.119,63 39 51.22,0.199,1.21,3.6,0.148,9.79,5.56,154.9,11.18,7.75,154.9,07060+63285J
7 8 2.928,63 39 50.26,0.673,1.03,2.24,0.141,11.51,0,79,12.71,5.03,79,07060+63285J
11 22 33.792,63 39 49.92,0.034,1.15,0.82,0.144,2.53,0,11.8,5.97,3.51,11.8,11240+63285J
8 27 8.267,63 39 49.3,0.014,1.59,2.82,0.147,7.65,1.23,107.9,9.36,5.54,107.9,08300+63285R
10 12 41.167,63 39 45.49,0.033,1.36,2.14,0.153,8.52,0,3.7,10.09,4.55,3.7,10120+63285J
14 10 31.159,63 39 44.75,0.014,2.11,1.82,0.14,1.52,0,3,5.61,4.47,3,14120+63285R
12 41 42.772,63 39 44.36,0.014,7.08,7.25,0.15,1.38,0,0.1,5.57,5.36,0.1,12420+63285J
14 15 30.053,63 39 43.72,0.014,2.24,2.92,0.132,4.42,0.71,178,6.98,5.45,178,14180+63285R
8 0 16.531,63 39 43.57,0.014,2.93,2.58,0.206,2.21,0,173.4,5.83,4.39,173.4,08000+63285M
12 52 3.601,63 39 42.78,0.014,1.07,1.04,0.139,0,0,0.1,5.34,5.3,0.1,12540+63285J
15 15 34.373,63 39 42.76,0.014,10.91,11.48,0.134,1.6,0.72,128.3,5.63,5.45,128.3,15180+63285J
7 18 21.976,63 39 42.54,0.014,67.75,111.29,0.15,5.01,3.63,16.1,7.36,6.5,16.1,07180+63285J
7 1 44.417,63 39 41.68,0.201,1.17,1.78,0.143,8.46,0,82.9,10.04,4.43,82.9,07000+63285J
8 37 40.746,63 39 41.53,0.452,1.13,1.1,0.146,5.29,0,151.4,7.56,3.77,151.4,08360+63285M
9 32 52.058,63 39 41.11,0.193,2.46,2.1,0.3,0,0,22.7,5.21,4.79,22.7,09300+63285J
11 2 25.026,63 39 40.35,0.032,1.03,2.47,0.133,9.05,3.84,113.7,10.54,6.62,113.7,11000+63285J
9 56 22.003,63 39 40.25,0.014,1.22,0.75,0.136,0,0,166,4.75,3.78,166,09540+63285J
11 26 14.746,63 39 39.34,0.014,1.32,0.94,0.137,0,0,90.2,4.56,4.53,90.2,11240+63285J
17 19 53.246,63 39 38.92,0.151,1.21,1.08,0.141,4.5,0,47.1,7.03,3.72,47.1,17180+63285J
9 26 36.14,63 39 38.01,0.014,3.99,4.41,0.147,2.38,0.8,166.9,5.9,5.46,166.9,09240+63285J
8 37 51.08,63 39 37.82,0.304,1.2,1.4,0.144,6.92,0,46.4,8.78,3.87,46.4,08360+63285M
17 14 24.35,63 39 37.5,0.014,1.12,1.34,0.137,5.21,0,151.8,7.51,4.65,151.8,17120+63285J
16 43 51.757,63 39 36.17,0.014,10.79,11.2,0.144,1.59,0,2.9,5.63,5.38,2.9,16420+63285N
14 4 14.005,63 39 35.83,0.014,13.81,20.61,0.147,5.41,1.79,62,7.65,5.69,62,14060+63285R
13 49 54.05,63 39 35.09,0.014,1.54,1.35,0.14,2.79,0,20.6,6.08,4.18,20.6,13480+63285J
15 6 10.987,63 39 35.09,0.274,1.03,1.06,0.15,5.66,0,31.7,7.82,3.83,31.7,15060+63285J
14 10 26.632,63 39 34.5,0.016,1.17,1.87,0.139,4.24,4.11,85.1,6.87,6.79,85.1,14120+63285R
9 30 53.901,63 39 33.22,0.049,3.8,3.39,0.243,0,0,173.5,5.37,4.85,173.5,09300+63285J
10 15 22.796,63 39 31.94,0.014,14.12,14.44,0.137,1.28,0,11.2,5.55,5.37,11.2,10180+63285J
12 18 56.13,63 39 31.23,0.298,1.17,0.7,0.156,0,0,118.5,4.49,3.85,118.5,12180+63285J
8 24 38.508,63 39 30.51,0.014,5.6,5.06,0.132,0,0,168.7,5.31,4.96,168.7,08240+63285R
16 28 37.838,63 39 29.9,0.014,2.8,2.4,0.146,0,0,1.2,5.24,4.78,1.2,16300+63285J
12 9 6.104,63 39 29.53,0.014,10.74,11.61,0.135,2.14,0.53,113.7,5.81,5.43,113.7,12120+63285J
15 5 8.903,63 39 28.92,0.014,2.69,3.61,0.15,3.99,2.13,14.6,6.72,5.8,14.6,15060+63285J
16 51 4.936,63 39 28.5,0.014,1.54,1.55,0.134,4.3,0,40.9,6.9,4.26,40.9,16540+63285J
16 38 52.909,63 39 27.34,0.014,1.89,1.72,0.139,2.37,0,163.5,5.89,4.5,163.5,16360+63285N
12 52 24.96,63 39 26.31,0.101,1.12,0.89,0.144,3.63,0,177.7,6.51,3.57,177.7,12540+63285J
10 41 13.631,63 39 25.99,0.362,1.19,1.72,0.156,10.64,0,150,11.93,3.56,150,10420+63285J
8 59 54.787,63 39 25.92,0.866,1.11,0.88,0.171,3.07,0,12.7,6.21,3.71,12.7,09000+63285M
12 18 48.586,63 39 25.3,0.014,17.33,17.54,0.157,1.35,0,178.2,5.57,5.31,178.2,12180+63285J
15 23 45.861,63 39 24.15,0.014,10.24,12.35,0.154,2.78,2.09,29.9,6.07,5.79,29.9,15240+63285J
12 51 42.526,63 39 23.85,0.014,1.61,1.47,0.137,2.4,0,99.4,5.91,4.5,99.4,12540+63285J
14 35 42.222,63 39 23.85,0.049,2.86,2.54,0.269,1.17,0,47.8,5.53,4.7,47.8,14360+63285J
10 9 39.273,63 39 23.19,0.251,1.39,2.91,0.142,11.85,0,28.2,13.02,4.7,28.2,10120+63285J
14 9 51.794,63 39 23.04,0.014,13.43,13.35,0.134,1.28,0,52.4,5.55,5.23,52.4,14120+63285R
14 10 23.615,63 39 22.72,0.014,1.47,3.77,0.139,7.89,5.72,33.4,9.56,7.86,33.4,14120+63285R
11 54 43.499,63 39 21.56,0.014,103.26,165.26,0.15,6.3,1.58,69.7,8.29,5.63,69.7,11540+63285J
15 59 41.397,63 39 21.54,0.014,4.63,7.24,0.148,5.66,2.18,137.7,7.82,5.82,137.7,16000+63285J
14 8 7.693,63 39 19.99,0.014,3.83,3.69,0.137,0,0,90,5.34,5.27,90,14060+63285R
9 33 13.929,63 39 18.12,0.721,1.8,1.43,0.3,1.45,0,12.7,5.59,4.13,12.7,09360+63285J
11 38 42.482,63 39 18,0.16,1.23,1.44,0.136,3.72,0,7.4,6.55,5.23,7.4,11360+63285R
9 18 10.872,63 39 17.9,0.049,2.24,1.67,0.178,0,0,28.5,5.18,4.19,28.5,09180+63285J
16 57 51.662,63 39 17.66,0.014,2.18,2.15,0.136,2.64,0,156.8,6.01,4.77,156.8,17000+63285J
9 8 43.326,63 39 16.5,0.014,4.23,3.79,0.14,0.75,0,50.5,5.45,4.8,50.5,09060+63285M
15 23 44.911,63 39 15.37,0.877,1.09,1.06,0.153,2.54,0,63.4,5.97,4.76,63.4,15240+63285J
15 42 52.34,63 39 15.02,0.088,1.24,0.79,0.15,0,0,7.9,4.99,3.74,7.9,15420+63285J
10 9 29.913,63 39 14.24,0.726,1.06,0.97,0.143,0,0,180,5.3,5.06,180,10120+63285J
16 30 45.553,63 39 14.09,0.099,1.19,0.9,0.153,1.96,0,19.6,5.75,3.8,19.6,16300+63285J
7 59 49.982,63 39 13.18,0.693,1.27,0.92,0.198,2.56,0,160.7,5.97,3.53,160.7,08000+63285M
12 26 16.884,63 39 12.88,0.211,1.21,0.86,0.145,1.54,0,156.6,5.61,3.69,156.6,12240+63285J
10 37 41.679,63 39 12.76,0.691,1.05,2.91,0.141,9.43,5.11,98.2,10.87,7.43,98.2,10360+63285J
17 25 4.185,63 39 12.71,0.014,2.77,2.57,0.148,1.7,0,165.9,5.66,4.79,165.9,17240+63285J
8 17 9.388,63 39 12.1,0.014,10.61,16.45,0.153,5.5,2.28,65.5,7.71,5.86,65.5,08180+63285R
15 23 47.255,63 39 11.19,0.195,1.26,7.73,0.153,17.21,8.31,75.4,18.04,9.91,75.4,15240+63285J
11 38 43.367,63 39 10.55,0.014,1.45,2.2,0.136,6.03,0.88,144.8,8.09,5.47,144.8,11360+63285R
13 23 5.154,63 39 10.5,0.014,6.18,18.1,0.146,10.08,5.16,164.7,11.44,7.47,164.7,13240+63285N
10 41 17.079,63 39 10.11,0.101,1.49,1.02,0.156,1.56,0,151.9,5.62,3.57,151.9,10420+63285J
9 21 32.424,63 39 9.98,0.658,1.62,1.96,0.272,4.46,0,88.3,7,5.05,88.3,09240+63285J
14 35 35.318,63 39 9.29,0.2,2.04,1.86,0.269,0.54,0,16.3,5.43,4.9,16.3,14360+63285J
10 52 4.867,63 39 9.17,0.014,7.02,11.16,0.139,5.89,2.12,76.9,7.99,5.8,76.9,10540+63285J
17 20 11.317,63 39 8.7,0.014,16.03,16.16,0.139,1.17,0,24.6,5.52,5.32,24.6,17180+63285J
10 52 6.581,63 39 8.04,0.014,8.08,13.02,0.139,5.92,2.3,109.2,8.01,5.87,109.2,10540+63285J
7 32 13.354,63 39 7.16,0.014,6.88,7.42,0.137,2.64,0,21.9,6.01,5.23,21.9,07300+63285J
14 11 50.118,63 39 7.06,0.014,9,12.02,0.142,4.34,1.56,20.8,6.93,5.62,20.8,14120+63285R
9 1 55.442,63 39 6.61,0.014,2.42,2.17,0.148,1.86,0,48.5,5.71,4.59,48.5,09000+63285M
10 30 23.814,63 39 5.93,0.014,5.64,5.37,0.15,0,0,0.1,5.28,5.26,0.1,10300+63285J
14 35 34.272,63 39 5.9,0.014,5.27,5.33,0.269,3.03,0,25.6,6.19,4.76,25.6,14360+63285J
7 42 36.457,63 39 5.83,0.39,1.16,0.66,0.152,0,0,12.4,4.85,3.47,12.4,07420+63562J
14 33 38.813,63 39 5.63,0.014,4.79,4.44,0.162,0,0,89.9,5.22,5.18,89.9,14360+63285J
7 3 46.232,63 39 5.29,0.014,1.27,2.69,0.14,8.42,2.99,71.2,10,6.17,71.2,07060+63285J
16 34 51.048,63 39 4.38,0.014,4.35,4.63,0.152,1.69,0.93,77.8,5.66,5.48,77.8,16360+63285N
7 10 29.347,63 39 4.35,0.014,3.11,2.73,0.147,1.03,0,2.9,5.5,4.67,2.9,07120+63285J
10 51 54.28,63 39 3.98,0.014,3.96,6.97,0.137,7.97,0,86,9.63,5.34,86,10540+63285J
15 17 29.366,63 39 2.93,0.014,21.22,22.93,0.149,2.1,0.64,47.5,5.79,5.44,47.5,15180+63285J
12 41 46.33,63 39 2.14,0.262,1.13,1.53,0.148,5.97,0,80.5,8.05,4.87,80.5,12420+63285J
8 34 12.044,63 39 1.72,0.014,3.24,3.51,0.141,2.32,0,30.1,5.88,5.37,30.1,08360+63285M
12 54 3.649,63 38 59.95,0.014,3.32,4.11,0.15,4.22,0,28.7,6.85,5.27,28.7,12540+63285J
17 7 37.222,63 38 59.26,0.014,1.45,1.6,0.142,5.24,0,24.4,7.53,4.28,24.4,17060+63285J
7 28 28.358,63 38 59.09,0.014,4.39,4.1,0.145,2.18,0,32.2,5.82,4.68,32.2,07300+63285J
14 28 47.664,63 38 58.77,0.014,4.4,4.58,0.149,2.07,0,175.1,5.78,5.24,175.1,14300+63285J
15 17 15.633,63 38 58.28,0.014,96.85,101.1,0.148,1.5,0.59,52,5.6,5.43,52,15180+63285J
9 1 49.075,63 38 58.16,0.014,2.43,2.95,0.15,3.17,1.7,51.2,6.26,5.66,51.2,09000+63285M
15 13 12.008,63 38 57.76,0.014,1.44,2.21,0.146,6.41,0,134.2,8.38,5.33,134.2,15120+63285J
16 14 3.725,63 38 57.69,0.014,2.33,1.98,0.139,0,0,90.5,4.98,4.97,90.5,16120+63285J
13 57 33.269,63 38 57.42,0.014,1.49,1.26,0.139,0,0,28.9,5.33,4.64,28.9,14000+63285J
14 11 49.273,63 38 57.34,0.014,5.04,7.46,0.141,3.91,3.58,90.2,6.67,6.48,90.2,14120+63285R
12 50 2.359,63 38 57.25,0.014,1.07,1.55,0.139,4.48,2.61,15.2,7.01,6,15.2,12480+63285J
7 17 21.349,63 38 56.75,0.877,1.04,1.45,0.15,5.84,0,59.2,7.95,5.16,59.2,07180+63285J
12 26 47.315,63 38 56.16,0.446,1.09,0.75,0.146,0,0,106.1,5.3,3.81,106.1,12240+63562M
10 15 57.332,63 38 55.8,0.014,6.66,6.84,0.14,1.09,0.6,0,5.51,5.43,0,10180+63285J
8 3 24.582,63 38 55.11,0.014,14.96,15.65,0.219,1.94,0,19.4,5.74,5.32,19.4,08060+63285M
17 33 59.705,63 38 54.96,0.014,2.41,2.59,0.138,2.09,0,51.9,5.79,5.4,51.9,17360+63285J
14 26 48.858,63 38 54.44,0.014,1.91,1.74,0.137,0,0,90.8,5.16,5.15,90.8,14240+63285J
16 22 39.924,63 38 54.12,0.014,1.44,1.14,0.145,0,0,173.3,5.17,4.46,173.3,16240+63285J
9 51 21.024,63 38 52.94,0.014,2.76,3.19,0.142,2.87,1.09,55.8,6.11,5.51,55.8,09540+63285J
16 22 41.72,63 38 52.8,0.014,2.07,1.54,0.145,0,0,148.6,4.78,4.52,148.6,16240+63285J
16 35 31.7,63 38 51.05,0.212,1.25,0.88,0.153,0,0,16.1,5.23,3.88,16.1,16360+63285N
14 15 34.043,63 38 48.69,0.014,1.28,2.32,0.135,5.16,4.59,179.5,7.47,7.09,179.5,14180+63285R
12 10 48.511,63 38 48.54,0.088,1.33,1.65,0.147,4.88,0,16.3,7.28,4.98,16.3,12120+63285J
17 12 8.484,63 38 48.52,0.169,1.1,2.98,0.149,9.61,4.66,150.1,11.03,7.13,150.1,17120+63285J
14 25 39.95,63 38 47.73,0.014,1.3,1.19,0.142,2.4,0,51.1,5.91,4.5,51.1,14240+63285J
10 19 0.924,63 38 47.56,0.257,1.19,0.92,0.151,0,0,179.5,5.06,4.49,179.5,10180+63285J
8 55 6.503,63 38 46.3,0.014,6.26,7.56,0.16,3.43,1.09,9.4,6.4,5.51,9.4,08540+63285M
15 43 3.621,63 38 46.3,0.014,2.69,2.38,0.149,0.24,0,0.1,5.41,4.77,0.1,15420+63285J
13 58 30.878,63 38 45.47,0.014,2.88,4.56,0.145,5.13,3.01,99.1,7.45,6.18,99.1,14000+63285J
10 9 44.856,63 38 45.42,0.865,1.05,0.89,0.143,0,0,89.9,4.98,4.95,89.9,10120+63285J
6 55 34.827,63 38 44.8,0.014,1.4,1.19,0.143,0,0,152.9,5.27,4.69,152.9,06540+63285J
7 34 56.795,63 38 44.02,0.014,3.05,3.59,0.149,2.33,2.23,90,5.88,5.84,90,07360+63285J
13 20 54.972,63 38 43.45,0.014,23.49,23.73,0.134,0.94,0,174.2,5.48,5.37,174.2,13180+63285N
16 34 12.284,63 38 41.63,0.014,19.81,22.46,0.146,2.44,1.4,156.4,5.93,5.58,156.4,16360+63285N
15 1 50.315,63 38 40.53,0.014,7.91,11.48,0.142,4.5,2.66,143.7,7.03,6.02,143.7,15000+63285J
9 26 48.319,63 38 40.5,0.272,1.41,1.94,0.147,4.2,2.37,91.3,6.84,5.9,91.3,09240+63285J
7 57 10.9,63 38 38.8,0.458,1.2,2,0.164,10.39,0,148.6,11.71,4.12,148.6,08000+63285M
8 31 1.538,63 38 38.76,0.014,16.74,17.24,0.211,1.4,0,166.1,5.58,5.38,166.1,08300+63285R
12 1 2.297,63 38 38.58,0.014,10.44,14.07,0.151,4.93,0,162.3,7.31,5.37,162.3,12000+63285J
14 36 56.995,63 38 38.56,0.352,2.43,1.49,0.26,0,0,18.4,5.12,3.49,18.4,14360+63285J
9 22 16.385,63 38 37.97,0.248,1.98,2.38,0.269,6.23,0,148.8,8.24,4.26,148.8,09240+63285J
7 34 49.53,63 38 37.92,0.014,2.04,4.38,0.148,7.78,3.76,75.4,9.47,6.58,75.4,07360+63285J
15 43 8.647,63 38 37.38,0.014,9.3,15.29,0.148,6.1,2.34,40.8,8.14,5.89,40.8,15420+63285J
7 2 43.493,63 38 37.08,0.014,2.53,2.09,0.14,0,0,12.4,5.07,4.75,12.4,07000+63285J
12 3 5.87,63 38 34.92,0.067,1.1,0.92,0.14,0,0,0.9,5.31,4.63,0.9,12060+63285J
15 1 51.082,63 38 33.91,0.014,12.59,15.62,0.142,2.92,2.35,116.9,6.14,5.89,116.9,15000+63285J
14 36 56.401,63 38 33.67,0.272,1.85,1.62,0.261,0.86,0,1.1,5.47,4.65,1.1,14360+63285J
16 11 9.005,63 38 33.44,0.014,2.7,2.67,0.15,1.67,0,176.7,5.65,5.11,176.7,16120+63285J
12 52 26.586,63 38 33.4,0.014,2.68,2.58,0.145,1.02,0,147.3,5.5,5.11,147.3,12540+63285J
9 43 54.526,63 38 32.81,0.014,2.04,3.59,0.146,6.65,2.59,20.6,8.57,5.99,20.6,09420+63285J
8 37 44.549,63 38 32.78,0.014,85.27,97.99,0.146,3.04,0.29,31.9,6.2,5.41,31.9,08360+63285M
17 12 12.074,63 38 32.14,0.014,25.06,26.88,0.148,1.46,1.45,179.9,5.59,5.59,179.9,17120+63285J
13 30 53.545,63 38 31.8,0.014,1.59,1.54,0.15,2.38,0,84.4,5.9,4.79,84.4,13300+63285N
8 42 7.245,63 38 31.55,0.014,1.96,2.38,0.15,3.99,0,64.1,6.71,5.29,64.1,08420+63285M
10 54 29.156,63 38 29.83,0.014,11.8,13.4,0.15,2.4,1.5,17.6,5.91,5.61,17.6,10540+63285J
16 54 13.641,63 38 29.83,0.014,1.74,1.55,0.148,2.58,0,75.8,5.98,4.35,75.8,16540+63285J
15 57 24.841,63 38 29.41,0.014,1.32,1.15,0.139,1.65,0,80,5.64,4.45,80,16000+63285J
12 2 17.191,63 38 28.99,0.014,6.34,6.54,0.142,1.89,0,179.7,5.72,5.26,179.7,12000+63285J
13 13 30.051,63 38 28.65,0.014,4.55,5.12,0.145,3.14,0,169.5,6.24,5.25,169.5,13120+63285J
10 9 24.395,63 38 27.25,0.376,1.5,1.06,0.144,1.79,0,15.8,5.69,3.64,15.8,10120+63285J
16 3 33.547,63 38 25.82,0.014,1.54,1.47,0.14,4.54,0,32.6,7.06,3.93,32.6,16060+63285J
14 55 0.815,63 38 25.48,0.014,1.47,1.31,0.148,4.33,0,30.5,6.92,3.76,30.5,14540+63285R
7 20 18.83,63 38 24.76,0.014,1.54,1.21,0.139,1.36,0,32.5,5.57,4.1,32.5,07180+63285J
13 7 14.067,63 38 23.83,0.014,5.42,6.3,0.148,2.69,1.55,71.2,6.03,5.62,71.2,13060+63285J
16 34 14.003,63 38 23.56,0.014,6.59,7.16,0.147,2.13,0.83,166.8,5.8,5.46,166.8,16360+63285N
8 37 45.569,63 38 21.64,0.272,1.53,1.37,0.146,3.04,0,165.5,6.2,4.22,165.5,08360+63285M
14 23 47.603,63 38 20.83,0.014,12.03,11.74,0.145,0.32,0,41.7,5.41,5.27,41.7,14240+63285J
9 33 15.247,63 38 20.27,0.199,3.11,2.98,0.303,3.06,0,53.2,6.21,4.5,53.2,09360+63285J
12 1 3.838,63 38 20.24,0.014,14.78,19.73,0.151,4.59,1.01,140.3,7.09,5.49,140.3,12000+63285J
15 42 37.174,63 38 20.14,0.014,1.26,1.04,0.149,0,0,6.2,5.39,4.47,6.2,15420+63285J
