RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
13 20 53.3,64 33 18.15,0.014,16.87,120.41,0.151,18.4,9.41,55.2,19.18,10.85,55.2,13240+64240M
7 29 38.832,64 33 15.47,0.014,1.61,2.55,0.151,7.81,0,79.8,9.49,4.86,79.8,07300+64243J
13 11 50.762,64 33 15.47,0.319,1.02,0.91,0.146,4.36,0,46.9,6.94,3.8,46.9,13150+64240M
13 20 51.975,64 33 14.8,0.014,96.3,243.86,0.15,7.38,6,84.4,9.15,8.07,84.4,13210+64240M
10 7 37.755,64 33 13.87,0.014,7.8,11.11,0.154,4.7,2.13,47.8,7.16,5.8,47.8,10090+64240M
10 7 35.729,64 33 12.96,0.014,3.55,7.32,0.154,7.93,3.18,147.1,9.59,6.27,147.1,10090+64240M
14 37 34.193,64 33 11.36,0.014,3.82,2.93,0.153,0,0,50.7,5.27,4.25,50.7,14390+64240M
11 37 7.264,64 33 8.41,0.014,5.65,4.98,0.155,0,0,30.8,5.36,4.79,30.8,11360+64240M
10 24 57.893,64 33 7.11,0.829,1.03,0.78,0.156,1.31,0,175.7,5.56,3.97,175.7,10240+64240M
11 18 12.113,64 33 5.34,0.014,3.16,2.42,0.146,0,0,46.7,5.24,4.26,46.7,11180+64240M
11 15 27.549,64 33 4.5,0.014,1.4,0.85,0.148,0,0,35.8,4.94,3.62,35.8,11150+64240M
7 11 3.347,64 33 3.71,0.094,1.52,0.97,0.152,0,0,0.7,4.44,4.16,0.7,07120+64243J
7 45 41.518,64 33 2.76,0.014,3.25,6.11,0.138,7.23,2.79,159.6,9.02,6.08,159.6,07480+64243J
14 44 27.197,64 33 0.15,0.115,1.39,0.73,0.149,0,0,102.6,4.21,3.66,102.6,14450+64240R
10 24 43.523,64 32 59.34,0.347,1.19,1,0.154,0,0,180,5.21,4.76,180,10240+64240M
13 21 49.116,64 32 56.63,0.205,1.25,2.08,0.151,7.39,0,96.5,9.16,5.3,96.5,13210+64240M
15 53 23.774,64 32 54.81,0.261,1.04,1.08,0.153,3.51,0,33.3,6.44,4.71,33.3,15510+64240M
10 21 5.146,64 32 52.97,0.143,1.32,1.05,0.15,1.66,0,12.4,5.65,4.1,12.4,10210+64240M
14 43 49.885,64 32 52.18,0.866,1.05,0.83,0.152,2.67,0,33.2,6.02,3.83,33.2,14420+64240M
14 44 26.899,64 32 50.95,0.865,1,0.97,0.147,3.65,0,138.1,6.52,4.34,138.1,14420+64240M
10 20 31.276,64 32 49.08,0.405,1.21,0.67,0.152,0,0,20.2,4.29,3.72,20.2,10210+64240M
11 26 36.673,64 32 49.06,0.014,27.4,27.97,0.147,1.14,0,58.2,5.52,5.39,58.2,11270+64240M
13 34 19.766,64 32 45.96,0.721,1.07,1.8,0.148,6.58,2.16,61.2,8.51,5.82,61.2,13330+64240M
11 5 18.819,64 32 41.41,0.014,2.39,2.47,0.146,2.73,0,93.6,6.05,4.98,93.6,11060+64240M
10 24 30.553,64 32 38.54,0.347,1.2,1.01,0.151,1.05,0,160.8,5.5,4.49,160.8,10240+64240M
11 53 24.822,64 32 38.54,0.014,14.23,19.22,0.145,4.5,1.49,82.1,7.03,5.6,82.1,11540+64240M
